projectid,countryname,regionname,sector_group,approval_year,closingyear,env_cat,planned_cost_adj_both,duration_planned,cancellation,delay,cost_change_perc_num,app_E_pct,app_S_pct,app_G_pct,app_E1_pct,app_E2_pct,app_E3_pct,app_S1_pct,app_S2_pct,app_S3_pct,app_S4_pct,app_S5_pct,app_G1_pct,app_G2_pct,app_G3_pct,app_G4_pct,app_G5_pct,E_emergence_rate,S_emergence_rate,G_emergence_rate,E1_emergence_rate,E2_emergence_rate,E3_emergence_rate,S1_emergence_rate,S2_emergence_rate,S3_emergence_rate,S4_emergence_rate,S5_emergence_rate,G1_emergence_rate,G2_emergence_rate,G3_emergence_rate,G4_emergence_rate,G5_emergence_rate,app_S3a_Land_pct,app_S3b_Displac_pct,app_G2a_Cost_pct,app_G2b_Fiscal_pct,app_G2c_Econ_pct,app_E3a_Habitat_pct,app_E3b_Species_pct,app_E3c_Forest_pct,app_E3d_Biodiv_pct,S3a_Land_emergence_rate,S3b_Displac_emergence_rate,G2a_Cost_emergence_rate,G2b_Fiscal_emergence_rate,G2c_Econ_emergence_rate,E3a_Habitat_emergence_rate,E3b_Species_emergence_rate,E3c_Forest_emergence_rate,E3d_Biodiv_emergence_rate,era,size_category,low_S3_coverage,low_S4_coverage,low_E3_coverage,high_G2_emergence,risk_score
P000306,Burkina Faso,Western and Central Africa,Water,2001,2007,A,1234.606884,206.4,False,0.0,31.09,2.833836537952222,1.3983791514381056,3.866730229355368,0.22246941045606228,2.2458816674612003,0.36548546003495946,0.8527994067482388,0.18539117538005193,0.1695005032046189,0.16420361247947454,0.026484453625721698,0.7627522644207849,1.5678796546427245,0.4767201652629906,0.6038455426664548,0.4555326023624132,0.29411764705882354,0.2972972972972973,0.288,0.0,0.23404255319148937,0.5625,0.2631578947368421,0.5,0.3333333333333333,0.2857142857142857,0.0,0.21739130434782608,0.3404255319148936,0.26666666666666666,0.3333333333333333,0.1875,0.06885957942687643,0.10064092377774247,0.20128184755548495,0.9163620954499709,0.45023571163726894,0.2383600826314953,0.07415647015202076,0.052968907251443396,0.0,-0.42105263157894735,-0.6956521739130435,-0.4,-0.376984126984127,-0.2391304347826087,-0.5166666666666667,-0.6111111111111112,-0.23529411764705882,0.0,2000-05,Medium,1,0,0,0,1
P000926,Ghana,Western and Central Africa,Energy,1995,2006,B,1438.737053,193.8,True,167.5,-47.51,3.645899961622106,0.722783676602277,3.863374696175003,0.47972367916080344,2.8399641806319558,0.3262121018293463,0.5181015734936676,0.06396315722144046,0.04477421005500832,0.006396315722144046,0.08954842011001664,0.5948573621593961,1.816553665088909,0.39017525905078676,0.5244978892158118,0.5372905206600997,0.3838383838383838,0.5384615384615384,0.5,0.47058823529411764,0.32857142857142857,0.5833333333333334,0.5454545454545454,0.25,0.6666666666666666,0.6666666666666666,0.0,0.46875,0.4117647058823529,0.6551724137931034,0.6785714285714286,0.3684210526315789,0.03198157861072023,0.012792631444288091,0.2942305232186261,0.9146731482665984,0.6076499936036842,0.07675578866572855,0.2174747345528975,0.03198157861072023,0.0,0.21428571428571427,0.0,-0.19230769230769232,-0.12549019607843137,0.005208333333333333,0.1935483870967742,0.49635036496350365,-0.8333333333333334,0.5,1995-99,Medium,1,1,0,1,3
P000953,Ghana,Western and Central Africa,Energy,1993,2000,B,710.7434779,169.7,True,45.6,10.46,1.9153439153439156,0.708994708994709,3.7566137566137567,0.12698412698412698,1.7089947089947088,0.07936507936507936,0.41269841269841273,0.07407407407407407,0.08465608465608467,0.10052910052910052,0.037037037037037035,0.2275132275132275,2.1904761904761907,0.4444444444444444,0.5291005291005291,0.3650793650793651,0.28125,0.3684210526315789,0.42424242424242425,0.5,0.2222222222222222,0.6666666666666666,0.3,1.0,0.5,0.4,0.0,0.47058823529411764,0.41304347826086957,0.5714285714285714,0.2857142857142857,0.375,0.07407407407407407,0.010582010582010583,0.3544973544973545,1.4285714285714286,0.4074074074074074,0.031746031746031744,0.021164021164021166,0.026455026455026457,0.0,-0.8125,-0.25,-0.7532467532467533,-0.6246246246246246,-0.38392857142857145,-0.625,-0.8,-0.2222222222222222,0.0,1989-94,Small,1,1,1,1,4
P001344,Kenya,Eastern and Southern Africa,Energy,1997,2004,A,3685.439116,214.0,True,0.0,-20.99,3.577420576933485,0.9146506467500135,3.3771716187692804,0.6278075445148021,2.4625209720192673,0.4870920603994155,0.5195648644260432,0.054121340044379504,0.13530335011094874,0.09200627807544515,0.11365481409319694,0.6332196785192401,1.6777615413757645,0.4979163284082914,0.25437029820858365,0.31390377225740107,0.2894736842105263,0.4,0.5380434782608695,0.3,0.3,0.16666666666666666,0.4827586206896552,0.6,0.16666666666666666,0.0,0.0,0.46153846153846156,0.5060240963855421,0.6285714285714286,0.5,0.6363636363636364,0.10283054608432106,0.0324728040266277,0.1840125561508903,0.8226443686745685,0.6711046165503057,0.10283054608432106,0.3084916382529631,0.07035774205769335,0.00541213400443795,-0.4444444444444444,-0.8571428571428571,-0.045454545454545456,-0.03389830508474576,-0.296875,-0.3448275862068966,-0.036036036036036036,-0.9285714285714286,-0.5,1995-99,Large,1,1,0,1,3
P001409,Lesotho,Eastern and Southern Africa,Water,1998,2006,A,5086.279449,200.2,True,60.8,-28.89,2.60844250363901,2.5502183406113534,2.3842794759825328,0.13100436681222707,1.816593886462882,0.6608442503639009,1.1499272197962156,0.2096069868995633,0.5240174672489083,0.561863173216885,0.10480349344978165,0.39592430858806404,1.0160116448326055,0.3406113537117904,0.39592430858806404,0.23580786026200876,0.3119266055045872,0.33858267716535434,0.43636363636363634,0.29411764705882354,0.39622641509433965,0.20512820512820512,0.36538461538461536,0.3448275862068966,0.3103448275862069,0.3333333333333333,0.2,0.35135135135135137,0.3950617283950617,0.42857142857142855,0.53125,0.5428571428571428,0.24454148471615722,0.2794759825327511,0.16302765647743814,0.5473071324599709,0.3056768558951965,0.32023289665211063,0.23580786026200876,0.08733624454148471,0.017467248908296942,-0.45689655172413796,-0.026595744680851064,-0.018018018018018018,-0.16,0.05803571428571429,-0.04245283018867924,-0.6138613861386139,-0.2978723404255319,0.07142857142857142,1995-99,Large,0,0,0,1,1
P001533,Madagascar,Eastern and Southern Africa,Energy,1996,2005,B,752.4546275,173.8,True,121.7,-22.57,4.174974321793245,0.888163857168751,4.374358044831128,0.7069059271343121,2.85179143254184,0.6162769621170927,0.6041931001147967,0.030209655005739834,0.1087547580206634,0.1087547580206634,0.036251586006887805,0.7733671681469397,1.9032082653616094,0.5196060660987252,0.6766962721285723,0.5014802730952813,0.2765957446808511,0.36363636363636365,0.45454545454545453,0.0,0.30303030303030304,0.3333333333333333,0.375,0.6666666666666666,0.0,0.0,1.0,0.391304347826087,0.4727272727272727,0.5882352941176471,0.36363636363636365,0.4,0.10271282701951544,0.006041931001147967,0.2537611020482146,0.9848347531871187,0.6646124101262764,0.07250317201377561,0.2175095160413268,0.32022234306084224,0.006041931001147967,-0.75,-0.5,-0.6037735849056604,-0.2874015748031496,-0.47333333333333333,-0.5625,-0.6976744186046512,-0.5970149253731343,0.0,1995-99,Small,1,1,0,1,3
P001662,Malawi,Eastern and Southern Africa,Energy,1992,2000,A,864.3292766,183.7,True,60.9,-39.18,3.244406545661266,1.0232671458155682,2.6799853818979167,0.5116335729077841,2.0546554594550694,0.6781175132984123,0.5278759085556503,0.16242335647866163,0.11775693344702967,0.08121167823933081,0.13399926909489585,0.32484671295732326,1.3359321070369918,0.3816948877248548,0.3695131359889552,0.2679985381897917,0.367816091954023,0.45652173913043476,0.43902439024390244,0.38461538461538464,0.3559322033898305,0.4,0.4090909090909091,0.6666666666666666,0.4444444444444444,0.5,0.3333333333333333,0.5714285714285714,0.35294117647058826,0.46875,0.47368421052631576,0.47058823529411764,0.08121167823933081,0.036545255207698864,0.3167255451333902,0.6212693385308807,0.39793722337272097,0.16648394039062817,0.19896861168636049,0.3126649612214236,0.0,-0.24242424242424243,-0.1875,-0.5544554455445545,-0.21825396825396826,-0.3401360544217687,-0.6274509803921569,-0.5,-0.7032967032967034,0.5,1989-94,Small,1,1,0,0,2
P001730,Mali,Western and Central Africa,Transport,1994,2004,A,1657.93844,216.0,True,106.7,52.11,0.33807488677680675,1.5245263762199401,4.063277412770301,0.12119665752376091,0.1530905147668559,0.06378771448618996,0.7718313452828985,0.5358168016839957,0.057408943037570964,0.13395420042099893,0.02551508579447598,0.5166804873381386,1.3714358614530842,0.5103017158895197,1.0907699177138483,0.5740894303757097,0.6666666666666666,0.2857142857142857,0.3493150684931507,0.625,0.5,0.7777777777777778,0.3333333333333333,0.14285714285714285,0.5,0.3333333333333333,0.5,0.28,0.39344262295081966,0.47368421052631576,0.30434782608695654,0.2222222222222222,0.057408943037570964,0.0,0.1530905147668559,0.8101039739746124,0.4082413727116157,0.05103017158895196,0.01275754289723799,0.0,0.0,-0.05555555555555555,0.0,0.24615384615384617,-0.2028301886792453,-0.2524271844660194,0.15,-0.6666666666666666,0.8,0.5,1989-94,Medium,1,0,1,1,3
P002084,Nigeria,Western and Central Africa,Water,1991,2001,C,2127.238079,246.8,True,61.0,1.5,2.985800427932309,1.332425598132659,3.96809959151916,0.24314335732347792,2.557868119042988,0.18478895156584324,1.011476366465668,0.16533748297996498,0.019451468585878234,0.06808014005057382,0.06808014005057382,0.31122349737405175,1.4296829410620502,0.748881540556312,1.011476366465668,0.46683524606107757,0.36585365853658536,0.45161290322580644,0.45652173913043476,0.4,0.375,0.25,0.45,0.6666666666666666,0.0,0.5,0.0,0.4782608695652174,0.42857142857142855,0.2222222222222222,0.5294117647058824,0.625,0.019451468585878234,0.0,0.3890293717175647,0.6418984633339817,0.3987551060105038,0.09725734292939117,0.06808014005057382,0.019451468585878234,0.0,-0.25,0.0,-0.5576923076923077,-0.25471698113207547,-0.23880597014925373,-0.10526315789473684,-0.5,-0.6666666666666666,0.5,1989-94,Medium,1,1,1,1,4
P002109,Nigeria,Western and Central Africa,Water,1992,2000,B,1081.976422,223.4,True,30.5,1.11,3.1873727087576373,1.1914460285132382,3.6099796334012217,0.49898167006109984,2.4083503054989817,0.280040733197556,0.7586558044806517,0.08655804480651731,0.12219959266802445,0.1985743380855397,0.02545824847250509,0.4429735234215886,1.6191446028513239,0.6008146639511202,0.5651731160896131,0.3818737270875764,0.3090909090909091,0.3611111111111111,0.34065934065934067,0.5,0.27906976744186046,0.3333333333333333,0.29411764705882354,0.5714285714285714,0.5,0.0,1.0,0.47058823529411764,0.3,0.25,0.4375,0.2,0.08655804480651731,0.03564154786150713,0.28513238289205706,0.9623217922606925,0.37169042769857435,0.1120162932790224,0.1120162932790224,0.045824847250509164,0.010183299389002037,-0.75,0.0625,-0.6376811594202898,-0.5596707818930041,-0.48484848484848486,-0.45161290322580644,-0.6071428571428571,-0.9,-0.6666666666666666,1989-94,Small,1,0,0,0,1
