term,subcategory,subcat_sim,category,category_display,pillar,is_seed
abatement,Waste Management & Disposal,0.5280992388725281,ESS3_P,E1,E,False
abundance,Habitats & Ecosystems,0.4767083525657654,ESS6,E3,E,False
abundant,Habitats & Ecosystems,0.4173884689807892,ESS6,E3,E,False
acceptable_standards,Safety Assessment & Standards,0.5794613361358643,ESS4,S2,S,False
accident_data,Accidents & Hazards,0.5600054860115051,ESS4,S2,S,False
accident_prone,Accidents & Hazards,0.6696402430534363,ESS4,S2,S,False
accident_rate,Accidents & Hazards,0.5683650374412537,ESS4,S2,S,False
accident_rates,Accidents & Hazards,0.5711138248443604,ESS4,S2,S,False
accordance,Accountability & Integrity,0.5036370158195496,DIM8_9,G5,G,False
accountable,Accountability & Integrity,0.4989233911037445,DIM8_9,G5,G,False
accountant,Operations & Performance,0.47934791445732117,DIM7,G4,G,False
accountants,Operations & Performance,0.4858768582344055,DIM7,G4,G,False
accounting_controls,Operations & Performance,0.6021059155464172,DIM7,G4,G,False
accounting_policies,Operations & Performance,0.5470339059829712,DIM7,G4,G,False
accounting_software,Operations & Performance,0.580475926399231,DIM7,G4,G,False
accounting_staff,Operations & Performance,0.5976580381393433,DIM7,G4,G,False
accounting_standards,Operations & Performance,0.5470658540725708,DIM7,G4,G,False
accounting_system,Operations & Performance,0.665993869304657,DIM7,G4,G,False
accounting_systems,Operations & Performance,0.6665125489234924,DIM7,G4,G,False
acid,Emissions & Hazardous Pollutants,0.420559823513031,ESS3_P,E1,E,False
acquisition,Bidding & Contract Management,0.4725721478462219,DIM6,G3,G,False
acquisitions,Procurement Systems & Processes,0.46062058210372925,DIM6,G3,G,False
acres,Land Acquisition & Property Rights,0.5040457248687744,ESS5,S3,S,False
action_plan,Strategic Plan,0.5859782099723816,DIM1,G1,G,False
action_plans,Strategic Plan,0.5353741645812988,DIM1,G1,G,False
actual_cost,Cost Analysis & Valuation,0.5547596216201782,DIM2_3,G2,G,False
actual_costs,Cost Analysis & Valuation,0.5953710675239563,DIM2_3,G2,G,False
adaptation,Habitats & Ecosystems,0.47246813774108887,ESS6,E3,E,False
additional_costs,Cost Analysis & Valuation,0.5845209956169128,DIM2_3,G2,G,False
additional_financing,Fiscal Management & Sustainability,0.5485268235206604,DIM2_3,G2,G,False
additional_information,Transparency & Disclosure,0.5599152445793152,DIM8_9,G5,G,False
adequate_financial_management,Fiscal Management & Sustainability,0.6138572096824646,DIM2_3,G2,G,False
adequate_information,Transparency & Disclosure,0.6024370193481445,DIM8_9,G5,G,False
adequate_maintenance,Operations & Performance,0.6342406868934631,DIM7,G4,G,False
adjudication,Accountability & Integrity,0.5454707741737366,DIM8_9,G5,G,False
adverse_environmental_impacts,Emissions & Hazardous Pollutants,0.647110104560852,ESS3_P,E1,E,False
affected_families,Displacement & Resettlement,0.6019707322120667,ESS5,S3,S,False
affected_households,Displacement & Resettlement,0.6218120455741882,ESS5,S3,S,False
affected_people,Displacement & Resettlement,0.5702239274978638,ESS5,S3,S,False
affected_population,Displacement & Resettlement,0.5904278755187988,ESS5,S3,S,False
affected_villages,Displacement & Resettlement,0.6540824174880981,ESS5,S3,S,False
affordability,Fiscal Management & Sustainability,0.5625095963478088,DIM2_3,G2,G,False
agencies_performance,Operations & Performance,0.5882675051689148,DIM7,G4,G,False
agreed_upon,Bidding & Contract Management,0.4232821464538574,DIM6,G3,G,False
agreements,Dispute Resolution,0.6085216999053955,DIM7,G4,G,False
agricultural_land,Land Acquisition & Property Rights,0.7476702928543091,ESS5,S3,S,False
agricultural_productivity,Economic Efficiency & Benefits,0.6122405529022217,DIM2_3,G2,G,False
aids,Disease & Health Risks,0.6135027408599854,ESS4,S2,S,False
air,Emissions & Hazardous Pollutants,0.4275572597980499,ESS3_P,E1,E,False
air_quality,Emissions & Hazardous Pollutants,0.7919413447380066,ESS3_P,E1,E,False
air_quality_monitoring,Emissions & Hazardous Pollutants,0.6892964243888855,ESS3_P,E1,E,False
alien,Species & Wildlife,0.5300880074501038,ESS6,E3,E,False
allegations,Accountability & Integrity,0.5732775926589966,DIM8_9,G5,G,False
ambient_air,Emissions & Hazardous Pollutants,0.5465477705001831,ESS3_P,E1,E,False
ambient_air_quality,Emissions & Hazardous Pollutants,0.7042333483695984,ESS3_P,E1,E,False
ammonia,Emissions & Hazardous Pollutants,0.49841809272766113,ESS3_P,E1,E,False
amortization,Cost Analysis & Valuation,0.46912404894828796,DIM2_3,G2,G,False
anger,Grievance Mechanisms,0.555462121963501,ESS2,S1,S,False
animal,Species & Wildlife,0.6529631614685059,ESS6,E3,E,False
annual_audit,Operations & Performance,0.5275173783302307,DIM7,G4,G,False
annual_audit_report,Operations & Performance,0.5016831755638123,DIM7,G4,G,False
annual_audit_reports,Operations & Performance,0.4889322519302368,DIM7,G4,G,False
annual_budget,Fiscal Management & Sustainability,0.6597785949707031,DIM2_3,G2,G,False
annual_financial,Fiscal Management & Sustainability,0.5648996233940125,DIM2_3,G2,G,False
annual_financial_statements,Fiscal Management & Sustainability,0.5578156113624573,DIM2_3,G2,G,False
annual_maintenance,Operations & Performance,0.594076931476593,DIM7,G4,G,False
annual_monitoring,Operations & Performance,0.567350447177887,DIM7,G4,G,False
ant,Species & Wildlife,0.45521244406700134,ESS6,E3,E,False
anteater,Species & Wildlife,0.4250483214855194,ESS6,E3,E,False
anthrax,Pest & Vector Management,0.45512622594833374,ESS3_P,E1,E,False
anti_competitive,Anti-Corruption,0.49256226420402527,DIM8_9,G5,G,False
antiquities,Cultural Heritage,0.6886351108551025,ESS8,S5,S,False
appeals,Grievance Mechanisms,0.5687869787216187,ESS2,S1,S,False
appliance,Energy Efficiency,0.4486897587776184,ESS3_R,E2,E,False
appliances,Energy Efficiency,0.42987990379333496,ESS3_R,E2,E,False
appointment,Bidding & Contract Management,0.47117289900779724,DIM6,G3,G,False
appraisal_document,Bidding & Contract Management,0.47261354327201843,DIM6,G3,G,False
appraisal_estimate,Bidding & Contract Management,0.4588991105556488,DIM6,G3,G,False
appraisal_estimates,Bidding & Contract Management,0.47040632367134094,DIM6,G3,G,False
appropriations,Fiscal Management & Sustainability,0.6082495450973511,DIM2_3,G2,G,False
approval,Accountability & Integrity,0.5126139521598816,DIM8_9,G5,G,False
approvals,Accountability & Integrity,0.5103259086608887,DIM8_9,G5,G,False
aquaculture,Habitats & Ecosystems,0.4901682436466217,ESS6,E3,E,False
aquatic,Water Resources & Conservation,0.47825416922569275,ESS3_R,E2,E,False
aquifer,Water Resources & Conservation,0.4952560365200043,ESS3_R,E2,E,False
aquifers,Water Resources & Conservation,0.49134159088134766,ESS3_R,E2,E,False
arable,Land Acquisition & Property Rights,0.47820621728897095,ESS5,S3,S,False
arbitration,Dispute Resolution,0.5464889407157898,DIM7,G4,G,False
archeological,Cultural Heritage,0.5691587924957275,ESS8,S5,S,False
archeology,Cultural Heritage,0.598981499671936,ESS8,S5,S,False
architectural,Cultural Heritage,0.47373083233833313,ESS8,S5,S,False
architecture,Cultural Heritage,0.50352543592453,ESS8,S5,S,False
arid,Habitats & Ecosystems,0.4279959201812744,ESS6,E3,E,False
art,Cultural Heritage,0.43226271867752075,ESS8,S5,S,False
artifacts,Cultural Heritage,0.47879087924957275,ESS8,S5,S,False
arts,Cultural Heritage,0.4630976915359497,ESS8,S5,S,False
aryans,Indigenous Peoples,0.4819246530532837,ESS7,S4,S,False
asbestos,Emissions & Hazardous Pollutants,0.5100927948951721,ESS3_P,E1,E,False
asset_management_system,Operations & Performance,0.5865687727928162,DIM7,G4,G,False
assurance,Safety Assessment & Standards,0.5142440795898438,ESS4,S2,S,False
assurances,Accountability & Integrity,0.46112385392189026,DIM8_9,G5,G,False
atmosphere,Emissions & Hazardous Pollutants,0.5804255604743958,ESS3_P,E1,E,False
attorney,Legal & Law,0.41157615184783936,DIM1,G1,G,False
attractions,Cultural Heritage,0.4996785521507263,ESS8,S5,S,False
auction,Bidding & Contract Management,0.562760591506958,DIM6,G3,G,False
audit,Accountability & Integrity,0.494448721408844,DIM8_9,G5,G,False
audit_department,Operations & Performance,0.5459334254264832,DIM7,G4,G,False
audit_report,Operations & Performance,0.5165297985076904,DIM7,G4,G,False
audit_reports,Operations & Performance,0.5021280646324158,DIM7,G4,G,False
audited_financial_statements,Transparency & Disclosure,0.4611213505268097,DIM8_9,G5,G,False
auditing_standards,Safety Assessment & Standards,0.5205297470092773,ESS4,S2,S,False
auditor,Operations & Performance,0.5422007441520691,DIM7,G4,G,False
auditors,Operations & Performance,0.48314979672431946,DIM7,G4,G,False
authorization,Transparency & Disclosure,0.4745074510574341,DIM8_9,G5,G,False
authorizations,Transparency & Disclosure,0.49006015062332153,DIM8_9,G5,G,False
average_cost,Cost Analysis & Valuation,0.5247991681098938,DIM2_3,G2,G,False
average_income,Labor Management & Employment,0.46859315037727356,ESS2,S1,S,False
average_incremental_cost,Cost Analysis & Valuation,0.4911253750324249,DIM2_3,G2,G,False
average_price,Bidding & Contract Management,0.428235799074173,DIM6,G3,G,False
average_tariff,Economic Efficiency & Benefits,0.44261083006858826,DIM2_3,G2,G,False
average_water,Water Resources & Conservation,0.7114091515541077,ESS3_R,E2,E,False
bacteria,Disease & Health Risks,0.5060744881629944,ESS4,S2,S,False
bamboo,Forestry & Forest Management,0.48693931102752686,ESS6,E3,E,False
bankruptcy,Dispute Resolution,0.42969951033592224,DIM7,G4,G,False
base_cost,Cost Analysis & Valuation,0.5285773277282715,DIM2_3,G2,G,False
base_costs,Cost Analysis & Valuation,0.5570865869522095,DIM2_3,G2,G,False
basic_information,Transparency & Disclosure,0.5888922810554504,DIM8_9,G5,G,False
basin,Water Resources & Conservation,0.4479558765888214,ESS3_R,E2,E,False
basin_wide,Habitats & Ecosystems,0.5138774514198303,ESS6,E3,E,False
basins,Water Resources & Conservation,0.4080818295478821,ESS3_R,E2,E,False
batteries,Energy Efficiency,0.42623481154441833,ESS3_R,E2,E,False
battery,Energy Efficiency,0.4789937734603882,ESS3_R,E2,E,False
behavior,Workplace Health & Safety,0.514985203742981,ESS2,S1,S,False
behaviors,Workplace Health & Safety,0.5106443166732788,ESS2,S1,S,False
benefit_analysis,Economic Efficiency & Benefits,0.6846001744270325,DIM2_3,G2,G,False
benefit_cost,Economic Efficiency & Benefits,0.6956450939178467,DIM2_3,G2,G,False
bid_documents,Bidding & Contract Management,0.7176485061645508,DIM6,G3,G,False
bid_evaluation,Bidding & Contract Management,0.659567654132843,DIM6,G3,G,False
bid_evaluation_report,Bidding & Contract Management,0.5690432786941528,DIM6,G3,G,False
bid_evaluation_reports,Bidding & Contract Management,0.5425112843513489,DIM6,G3,G,False
bid_opening,Bidding & Contract Management,0.6431196928024292,DIM6,G3,G,False
bid_prices,Bidding & Contract Management,0.613082230091095,DIM6,G3,G,False
bidding,Bidding & Contract Management,0.6637346744537354,DIM6,G3,G,False
bidding_document,Bidding & Contract Management,0.7115927934646606,DIM6,G3,G,False
bidding_documents,Bidding & Contract Management,0.7390454411506653,DIM6,G3,G,False
bidding_procedures,Bidding & Contract Management,0.7006741762161255,DIM6,G3,G,False
bidding_process,Bidding & Contract Management,0.7163751721382141,DIM6,G3,G,False
bin,Waste Management & Disposal,0.5210210680961609,ESS3_P,E1,E,False
biodiversity,Biodiversity Conservation,0.7696300148963928,ESS6,E3,E,False
biogas,Emissions & Hazardous Pollutants,0.4756243824958801,ESS3_P,E1,E,False
biological,Species & Wildlife,0.5106056928634644,ESS6,E3,E,False
biomass,Forestry & Forest Management,0.5314093828201294,ESS6,E3,E,False
biota,Biodiversity Conservation,0.5618414878845215,ESS6,E3,E,False
bird,Species & Wildlife,0.45064783096313477,ESS6,E3,E,False
birds,Species & Wildlife,0.5251894593238831,ESS6,E3,E,False
borrowings,Fiscal Management & Sustainability,0.5051735639572144,DIM2_3,G2,G,False
