term,subcategory,subcat_sim,category,category_display,pillar,is_seed,x,y
abatement,Waste Management & Disposal,0.5280992388725281,ESS3_P,E1,E,False,29.366817,15.054181
abundance,Habitats & Ecosystems,0.4767083525657654,ESS6,E3,E,False,34.550465,22.772886
abundant,Habitats & Ecosystems,0.4173884689807892,ESS6,E3,E,False,34.53046,22.795153
acceptable_standards,Safety Assessment & Standards,0.5794613361358643,ESS4,S2,S,False,15.234258,-27.106821
accident_data,Accidents & Hazards,0.5600054860115051,ESS4,S2,S,False,-26.174343,25.922325
accident_prone,Accidents & Hazards,0.6696402430534363,ESS4,S2,S,False,-27.558895,25.17586
accident_rate,Accidents & Hazards,0.5683650374412537,ESS4,S2,S,False,-25.552526,25.607706
accident_rates,Accidents & Hazards,0.5711138248443604,ESS4,S2,S,False,-25.530226,25.609783
accordance,Accountability & Integrity,0.5036370158195496,DIM8_9,G5,G,False,-2.0904684,-2.0453408
accountable,Accountability & Integrity,0.4989233911037445,DIM8_9,G5,G,False,-21.886778,6.2854433
accountant,Operations & Performance,0.47934791445732117,DIM7,G4,G,False,-11.014147,-49.401325
accountants,Operations & Performance,0.4858768582344055,DIM7,G4,G,False,-11.008301,-49.40363
accounting_controls,Operations & Performance,0.6021059155464172,DIM7,G4,G,False,-14.855552,-49.086796
accounting_policies,Operations & Performance,0.5470339059829712,DIM7,G4,G,False,-14.680486,-49.658863
accounting_software,Operations & Performance,0.580475926399231,DIM7,G4,G,False,-15.332741,-48.18744
accounting_staff,Operations & Performance,0.5976580381393433,DIM7,G4,G,False,-13.859585,-47.395615
accounting_standards,Operations & Performance,0.5470658540725708,DIM7,G4,G,False,-15.735491,-50.523895
accounting_system,Operations & Performance,0.665993869304657,DIM7,G4,G,False,-15.735532,-48.66526
accounting_systems,Operations & Performance,0.6665125489234924,DIM7,G4,G,False,-15.719261,-48.716667
acid,Emissions & Hazardous Pollutants,0.420559823513031,ESS3_P,E1,E,False,12.357221,35.4325
acquisition,Bidding & Contract Management,0.4725721478462219,DIM6,G3,G,False,-48.375736,-10.35319
acquisitions,Procurement Systems & Processes,0.46062058210372925,DIM6,G3,G,False,-48.372364,-10.362891
acres,Land Acquisition & Property Rights,0.5040457248687744,ESS5,S3,S,False,30.78949,25.454296
action_plan,Strategic Plan,0.5859782099723816,DIM1,G1,G,False,8.690588,-37.31153
action_plans,Strategic Plan,0.5353741645812988,DIM1,G1,G,False,8.731125,-37.29836
actual_cost,Cost Analysis & Valuation,0.5547596216201782,DIM2_3,G2,G,False,-33.71712,-27.19477
actual_costs,Cost Analysis & Valuation,0.5953710675239563,DIM2_3,G2,G,False,-33.75316,-27.212421
adaptation,Habitats & Ecosystems,0.47246813774108887,ESS6,E3,E,False,40.869293,6.8992305
additional_costs,Cost Analysis & Valuation,0.5845209956169128,DIM2_3,G2,G,False,-31.754158,-24.597883
additional_financing,Fiscal Management & Sustainability,0.5485268235206604,DIM2_3,G2,G,False,-32.561707,-47.90342
additional_information,Transparency & Disclosure,0.5599152445793152,DIM8_9,G5,G,False,-7.868599,-14.988975
adequate_financial_management,Fiscal Management & Sustainability,0.6138572096824646,DIM2_3,G2,G,False,-23.271175,-49.98098
adequate_information,Transparency & Disclosure,0.6024370193481445,DIM8_9,G5,G,False,-7.819163,-14.593308
adequate_maintenance,Operations & Performance,0.6342406868934631,DIM7,G4,G,False,28.976511,-42.668552
adjudication,Accountability & Integrity,0.5454707741737366,DIM8_9,G5,G,False,-7.8597746,1.4679743
adverse_environmental_impacts,Emissions & Hazardous Pollutants,0.647110104560852,ESS3_P,E1,E,False,29.673286,12.150036
affected_families,Displacement & Resettlement,0.6019707322120667,ESS5,S3,S,False,23.866383,-4.5392427
affected_households,Displacement & Resettlement,0.6218120455741882,ESS5,S3,S,False,23.302687,-4.3793764
affected_people,Displacement & Resettlement,0.5702239274978638,ESS5,S3,S,False,24.285805,-4.354851
affected_population,Displacement & Resettlement,0.5904278755187988,ESS5,S3,S,False,23.370125,-3.908524
affected_villages,Displacement & Resettlement,0.6540824174880981,ESS5,S3,S,False,24.014482,-3.0842996
affordability,Fiscal Management & Sustainability,0.5625095963478088,DIM2_3,G2,G,False,-37.58632,-39.67423
agencies_performance,Operations & Performance,0.5882675051689148,DIM7,G4,G,False,1.0789118,-30.562405
agreed_upon,Bidding & Contract Management,0.4232821464538574,DIM6,G3,G,False,-17.516983,-9.105323
agreements,Dispute Resolution,0.6085216999053955,DIM7,G4,G,False,-14.28942,-1.5610387
agricultural_land,Land Acquisition & Property Rights,0.7476702928543091,ESS5,S3,S,False,28.673962,24.038406
agricultural_productivity,Economic Efficiency & Benefits,0.6122405529022217,DIM2_3,G2,G,False,29.130949,23.920458
aids,Disease & Health Risks,0.6135027408599854,ESS4,S2,S,False,48.608536,4.0238876
air,Emissions & Hazardous Pollutants,0.4275572597980499,ESS3_P,E1,E,False,9.259842,32.032925
air_quality,Emissions & Hazardous Pollutants,0.7919413447380066,ESS3_P,E1,E,False,12.195324,28.213112
air_quality_monitoring,Emissions & Hazardous Pollutants,0.6892964243888855,ESS3_P,E1,E,False,11.544998,28.404106
alien,Species & Wildlife,0.5300880074501038,ESS6,E3,E,False,47.206284,19.093975
allegations,Accountability & Integrity,0.5732775926589966,DIM8_9,G5,G,False,-0.22894555,4.3694625
ambient_air,Emissions & Hazardous Pollutants,0.5465477705001831,ESS3_P,E1,E,False,10.744093,29.154392
ambient_air_quality,Emissions & Hazardous Pollutants,0.7042333483695984,ESS3_P,E1,E,False,11.245957,28.604347
ammonia,Emissions & Hazardous Pollutants,0.49841809272766113,ESS3_P,E1,E,False,11.082096,35.669003
amortization,Cost Analysis & Valuation,0.46912404894828796,DIM2_3,G2,G,False,-49.838875,-36.852142
anger,Grievance Mechanisms,0.555462121963501,ESS2,S1,S,False,-4.228704,12.066982
animal,Species & Wildlife,0.6529631614685059,ESS6,E3,E,False,45.59303,25.302963
annual_audit,Operations & Performance,0.5275173783302307,DIM7,G4,G,False,-15.000457,-54.35143
annual_audit_report,Operations & Performance,0.5016831755638123,DIM7,G4,G,False,-15.255051,-54.652843
annual_audit_reports,Operations & Performance,0.4889322519302368,DIM7,G4,G,False,-15.273293,-54.687813
annual_budget,Fiscal Management & Sustainability,0.6597785949707031,DIM2_3,G2,G,False,-31.561296,-41.267834
annual_financial,Fiscal Management & Sustainability,0.5648996233940125,DIM2_3,G2,G,False,-31.722115,-42.6114
annual_financial_statements,Fiscal Management & Sustainability,0.5578156113624573,DIM2_3,G2,G,False,-19.871708,-55.812904
annual_maintenance,Operations & Performance,0.594076931476593,DIM7,G4,G,False,30.656944,-44.99872
annual_monitoring,Operations & Performance,0.567350447177887,DIM7,G4,G,False,20.989204,-46.88756
ant,Species & Wildlife,0.45521244406700134,ESS6,E3,E,False,48.951595,21.904285
anteater,Species & Wildlife,0.4250483214855194,ESS6,E3,E,False,48.83078,22.03948
anthrax,Pest & Vector Management,0.45512622594833374,ESS3_P,E1,E,False,49.180378,6.6607757
anti_competitive,Anti-Corruption,0.49256226420402527,DIM8_9,G5,G,False,-22.21896,-22.867607
antiquities,Cultural Heritage,0.6886351108551025,ESS8,S5,S,False,19.273344,9.764043
appeals,Grievance Mechanisms,0.5687869787216187,ESS2,S1,S,False,-8.240971,2.508313
appliance,Energy Efficiency,0.4486897587776184,ESS3_R,E2,E,False,-23.381723,45.141823
appliances,Energy Efficiency,0.42987990379333496,ESS3_R,E2,E,False,-23.369127,45.23974
appointment,Bidding & Contract Management,0.47117289900779724,DIM6,G3,G,False,-31.918089,6.1036897
appraisal_document,Bidding & Contract Management,0.47261354327201843,DIM6,G3,G,False,-6.527717,-60.62637
appraisal_estimate,Bidding & Contract Management,0.4588991105556488,DIM6,G3,G,False,-6.363678,-59.98662
appraisal_estimates,Bidding & Contract Management,0.47040632367134094,DIM6,G3,G,False,-6.3718753,-59.993965
appropriations,Fiscal Management & Sustainability,0.6082495450973511,DIM2_3,G2,G,False,-25.558748,-36.006603
approval,Accountability & Integrity,0.5126139521598816,DIM8_9,G5,G,False,-19.836643,-1.6615216
approvals,Accountability & Integrity,0.5103259086608887,DIM8_9,G5,G,False,-19.792086,-1.6914129
aquaculture,Habitats & Ecosystems,0.4901682436466217,ESS6,E3,E,False,46.999783,33.26042
aquatic,Water Resources & Conservation,0.47825416922569275,ESS3_R,E2,E,False,36.445805,45.56217
