countryname,countrycode,indicatorname,indicatorcode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.79133448,49.41860233,51.30754692,54.02700804,57.42421299,59.3627611,61.29768224,63.56829413,67.7593203,69.24329051,69.9607208,73.89885008,77.17603362,79.52916654,81.76386431,85.90724587,88.90055172,93.49394808,97.47907993,99.13942204,97.92654386,101.8491622,102.0365979,100,103.9588974,111.060628,109.9469123,106.4526161,110.1380361,116.7659425,115.6549452,109.9732515,113.4454143,121.0569904,
Eastern and Southern Africa,AFE,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.93996101,35.23721591,37.39567933,41.75423484,46.46053505,51.53066803,55.24074797,67.685249,69.10412726,67.60912551,70.18816371,81.83472908,87.8101017,92.04499454,92.56683861,94.8324703,92.74850167,94.97785677,96.94517925,103.2674396,110.4578959,113.5937914,124.2786953,127.9121845,
Western and Central Africa,AFW,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29E-08,1.71E-07,9.86E-07,1.00E-05,0.000228303,0.004395968,0.215425784,0.421056206,0.586781184,3.858092819,19.98565352,41.24082082,100,193.9265669,258.7825821,368.4397585,431.5006739,450.0915879,537.2553056,447.1998176,591.5132966,779.4457079,836.0003392,859.7404425,890.354809,859.0286959,1046.075628,1282.640547,1643.923107,1959.342696,2170.228813,3012.792411,3425.864147,4028.821011,5045.663717
Albania,ALB,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.712383135,3.67566558,12.23940249,27.61831139,37.5173978,41.20869753,48.18714716,54.33386978,58.60187924,60.23398676,63.79958186,66.20223922,68.78669613,72.18303413,74.41736362,76.75682604,78.81756899,82.87633311,85.77587693,87.98060868,91.61195894,93.16459091,93.37583211,93.70504147,95.05759929,95.79104119,94.96315253,97.55096414,98.96865984,99.95897277,100,103.4443911,113.6456456,120.5394497,123.7806041
Andorra,AND,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.29828396,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.5565075,109.28314,113.9130867,121.0845999,124.8910825
Arab World,ARB,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90298557,39.21842993,39.92703877,40.43732082,40.331183,41.90711581,44.326432,43.90431107,42.03642617,45.5857203,50.80963223,49.61595764,51.4868958,53.58365164,58.13902402,67.74725758,75.85128567,85.35845598,101.17824,85.81636818,100,113.1672194,118.4631342,117.3385336,116.5546543,97.59470168,92.19822352,96.79542346,104.4778323,101.1403826,88.97187441,101.2889364,114.0816214,112.5937687,113.3554364
Argentina,ARG,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3109.882269,4356.419109,6700.263541,11382.14534,26790.02758,82492.35148
