countryname,countrycode,indicatorname,indicatorcode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515849816,0.526992179,0.534944969,0.550255881,0.572629068,0.579803423,0.587938272,0.599380892,0.631797225,0.636625098,0.628973694,0.649748661,0.668179513,0.675221616,0.676016069,0.688679919,0.691355632,0.70789844,0.724120549,0.731939888,0.714304441,0.72789978,0.736741128,0.719008022,0.73280502,0.763303791,0.759784687,0.757897566,0.765701446,0.795090398,0.788775769,0.761985246,0.733731969,0.755766012,
Eastern and Southern Africa,AFE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21502174,0.185514296,0.193149007,0.205665899,0.228237965,0.236211539,0.244437625,0.292337074,0.286211074,0.287804316,0.317535786,0.347863296,0.32760387,0.298647466,0.280987881,0.247614251,0.235896708,0.22496391,0.202007124,0.192221917,0.199371858,0.166263302,0.16828161,0.187924599,
Western and Central Africa,AFW,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354122462,0.32027644,0.260549636,0.232488209,0.172817032,0.183683455,0.215874957,0.20103064,0.161531796,0.147413014,0.207544151,0.190652621,0.230670019,0.255948677,0.297029974,0.393017916,0.484246131,0.51526351,0.616874738,0.482696792,0.544472657,0.68777264,0.691511467,0.668922319,0.626511613,0.45140816,0.264176317,0.348542003,0.345489999,0.290879978,0.224768109,0.259967839,0.369682721,0.287012125,0.254204084
Albania,ALB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282587964,0.205788914,0.12858,0.208362451,0.298914903,0.328263286,0.334381212,0.264020484,0.269374732,0.297621911,0.291788292,0.298004127,0.305729853,0.369198675,0.437295573,0.455865045,0.452711141,0.493483159,0.531156772,0.46683853,0.42529469,0.434683755,0.403526949,0.417469655,0.406655042,0.338947717,0.341435721,0.354796376,0.391740626,0.369146777,0.370091204,0.397656261,0.3520697,0.403287824,0.426242584
Andorra,AND,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.785409243,0.796942715,0.843921142,0.693292693,0.669880583,0.739671589,0.720761864,0.626613828,0.616389337,0.597509081,0.651867168,0.637241214,0.68394293,0.827833119,0.913474977,0.91592192,0.927742683,1.017574153,1.095754169,1.034146791,0.974771715,1.004760094,0.912038833,0.931178085,0.914732693,0.761925229,0.755596148,0.766188162,0.775093523,0.717838275,0.7171607,0.715053505,0.61945395,0.652614137,0.657913251
Arab World,ARB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307191463,0.299552037,0.298169571,0.29498811,0.288063121,0.293172221,0.304522099,0.29650899,0.280624382,0.300072241,0.327050788,0.312334553,0.319152574,0.325719046,0.344155163,0.388839419,0.422329033,0.462727114,0.538117992,0.453617819,0.522244488,0.579062865,0.595771266,0.608356865,0.602727498,0.607010737,0.610414934,0.622260157,0.608620472,0.5755542,0.568818105,0.643313053,0.676343059,0.644336444,0.633379476
Argentina,ARG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602842702,0.717154039,0.783353878,0.731791622,0.736171487,0.743875471,0.730119101,0.714412314,0.69442518,0.672159934,0.664089245,0.642348669,0.258171366,0.303700588,0.350068749,0.376362708,0.395415468,0.436657686,0.517696129,0.50365822,0.574874211,0.664971955,0.666466239,0.650493382,0.627745774,0.687447783,0.631657866,0.621443442,0.481467071,0.423355376,0.381166737,0.408285397,0.470836721,0.471622203,0.459252952
Armenia,ARM,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230180398,0.231260416,0.238903025,0.241510811,0.245608019,0.251243597,0.253476947,0.247592302,0.263567329,0.245177861,0.234496494,0.231893421,0.226271978,0.229921352,0.258174356,0.301125032,0.33619852,0.415133031,0.482626263,0.414081033,0.428647406,0.439327843,0.392676638,0.389234712,0.395647601,0.359992907,0.33342801,0.320657414,0.325840237,0.306978125,0.290261718,0.294263704,0.342980405,0.377322487,0.372454908
American Samoa,ASM,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584081866,0.582529203,0.586243408,0.58593122,0.594267135,0.599805089,0.609110812,0.613935681,0.623387392,0.627050821,0.622576705,0.621432571,0.61972198,0.604810602,0.602805505,0.611824278,0.600154678,0.609854816,0.626677663,0.629747344,0.632187123,0.62643581,0.679644769,0.691688851,0.716707427,0.766132851,0.776572018,0.791976805,0.745117753,0.711711954,0.687060577,0.673849936,0.671653411,0.68016947,0.706075246
Australia,AUS,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049943325,1.057416839,1.020281505,0.921086284,0.898806641,0.971930502,0.995011385,1.022558268,0.881077121,0.812727159,0.824003155,0.712430812,0.6992801,0.787407105,0.970813772,1.043684434,1.050191001,1.119981157,1.32420225,1.062119164,1.324381243,1.489802941,1.588137089,1.484638326,1.333455434,1.226425643,1.055604731,1.114336223,1.139741264,1.043658709,0.959384643,1.041686911,0.986720292,0.919482696,0.904685699
Austria,AUT,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.114177659,1.08775604,1.169284999,1.108859576,1.133470666,1.28058687,1.214118794,1.050485962,1.025755892,0.984677255,0.838183006,0.826572013,0.850824401,1.004605036,1.092212161,1.097211731,1.079852656,1.189548899,1.256648771,1.176856037,1.116698874,1.157235406,1.045365733,1.058617655,1.061202441,0.886055885,0.859987342,0.875513079,0.903906125,0.826543854,0.832431382,0.851986982,0.737636351,0.795041684,0.793561312
Azerbaijan,AZE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23177454,0.135796559,0.01427323,0.064032921,0.059319285,0.133462732,0.170014231,0.197050975,0.198784954,0.188042062,0.190482622,0.183491444,0.180386685,0.187285652,0.199143591,0.230252665,0.263136175,0.321642152,0.421770002,0.347506108,0.391384681,0.485648454,0.468663033,0.456078757,0.449272061,0.364869265,0.266974276,0.289691151,0.310135082,0.288195628,0.278952157,0.268904795,0.344562064,0.301587569,0.290320463
Burundi,BDI,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415871845,0.395069061,0.354770288,0.320337393,0.321405304,0.369748131,0.342838703,0.38340265,0.332511761,0.299460679,0.259167711,0.250154765,0.222014557,0.209534177,0.227035945,0.266286649,0.279331895,0.279988025,0.311337733,0.329431211,0.353178129,0.365965335,0.36265178,0.341656516,0.345878234,0.352342097,0.304779839,0.310920834,0.298490604,0.269811392,0.267010697,0.255886537,0.282081152,0.208867691,0.162060022
Belgium,BEL,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.103080637,1.074219728,1.153716437,1.089189599,1.125769231,1.266695402,1.209035831,1.046065629,1.039792176,0.992608763,0.831251294,0.799229339,0.825769534,0.990968898,1.104959672,1.109464776,1.097737406,1.204340468,1.275056746,1.185753354,1.109249672,1.157982886,1.056272304,1.070683607,1.063084927,0.887370658,0.864503507,0.87621913,0.905091803,0.823745167,0.818000876,0.851473673,0.745655316,0.791930874,0.775789707
Benin,BEN,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432478905,0.406791751,0.329687831,0.408264164,0.272171567,0.341293313,0.349619513,0.312274293,0.321498652,0.329827349,0.291633725,0.282019712,0.303610802,0.367073081,0.396114137,0.400623018,0.400447787,0.427217076,0.478751331,0.462697954,0.438333442,0.467764926,0.456729496,0.46540145,0.451015632,0.367814614,0.355568311,0.365562332,0.388405399,0.359107223,0.369906554,0.380641373,0.329442332,0.337576098,0.334955165
