projectid_head,projectid1,projectid2,projectid3,projectid4,countrycode,countryname,region,countryclassification_current,countryclassification_at_approval,projectname,modality,mode_of_fin_assistance,modality_financing,funding_source,approved_amount_usd_m,disbursed_amonut_usd_m,committed_amount_usd_m,approvaldate,approvalyear,loangisnged,loaneffective_initial,loaneffective_final,closingdate_initial,closingdate_final,cofin_approval_usd_m,cofin_act_usd_m,totalcost_initial,totalcost_final,sector1,sector1a,sector2,sector2a,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
21182,21182,,,,BAN,Bangladesh,South Asia,B,A,Ninth Power Project,Project,Project loan,,COL,134.4,88.1,133.37,12/18/96,1996,1/9/97,4/9/97,7/17/97,7/31/01,7/12/04,63.34,0,313.7,162,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
22023,22023,,,,INO,Indonesia,Southeast Asia,C,B,Gas Transmission and Distribution Project,Project,Project loan,,OCR,218,217.83,218,6/8/95,1995,6/26/95,9/24/95,2/23/96,3/31/99,8/9/05,253,229.97,590,683.44,Energy,Oil and gas transmission and distribution,na,na,na,na,na,na,na,na,na,na
23213,23213,,,,PAK,Pakistan,Central and West Asia,B,B1,Southern Punjab Basic Urban Services Project,Project,Project loan,,COL/OCR,90,49.83,93.08264726,12/18/03,2003,1/23/04,4/22/04,8/25/04,7/31/09,12/31/09,0,0,128.6,113.1,Water,"Urban policy, institutional and capacity development",na,na,less than successful,less than relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
23213,23213,,,,PAK,Pakistan,Central and West Asia,B,B1,Southern Punjab Basic Urban Services Project,Project,Project loan,,COL,45,24.48491875,47.00269808,12/18/03,2003,1/23/04,4/22/04,8/25/04,7/31/09,12/31/09,,,,,Water,"Urban policy, institutional and capacity development",na,na,-,-,-,-,-,-,-,-
23213,23213,,,,PAK,Pakistan,Central and West Asia,B,B1,Southern Punjab Basic Urban Services Project,Project,Project loan,,OCR,45,25.34093322,46.07994918,12/18/03,2003,1/23/04,4/22/04,8/25/04,7/31/09,12/31/09,,,,,Water,"Urban policy, institutional and capacity development",na,na,-,-,-,-,-,-,-,-
23233,23233,,,,PHI,Philippines,Southeast Asia,C,B,Sixth Road Project,Project,Project loan,,OCR,167,148.58,167,9/30/96,1996,6/23/97,9/21/97,12/24/97,6/30/02,2/26/07,203.4,197.34,652.8,576.88,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
23241,23241,,,,IND,India,South Asia,B,A,Mumbai and Chennai Ports Project,Project,Project loan,,OCR,113,47.93,113,9/29/97,1997,9/25/98,12/24/98,1/6/99,9/30/03,9/11/02,0,0,245,235.58,Transportation,Water transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
23241,23241,,,,IND,India,South Asia,B,A,Mumbai Port Project,Project,Project loan,,OCR,97.8,43.41727211,97.8,9/29/97,1997,9/25/98,12/24/98,1/6/99,9/30/03,6/1/01,,,,,Transportation,Water transport (non-urban),na,na,-,-,-,-,-,-,-,-
23241,23241,,,,IND,India,South Asia,B,A,Chennai Port Project,Project,Project loan,,OCR,15.2,4.51157741,15.2,9/29/97,1997,9/25/98,12/24/98,2/23/99,3/30/03,9/11/02,,,,,Transportation,Water transport (non-urban),na,na,-,-,-,-,-,-,-,-
23251,23251,,,,IND,India,South Asia,B,A,National Highways Project,Project,Project loan,,OCR,245,231.87,245,11/29/93,1993,3/22/95,6/20/95,5/4/95,12/31/99,2/10/03,0,0,308.8,302.79,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
