Regional Member,Year,"Industry, Value Added",Unit of Measurement,Subregion,Alpha-3 Country Code,ADB Country Code
Afghanistan,2014,2.765780484,%,South Asia,AFG,AFG
Afghanistan,2015,4.171121337,%,South Asia,AFG,AFG
Afghanistan,2016,-0.765914445,%,South Asia,AFG,AFG
Afghanistan,2017,0.417123194,%,South Asia,AFG,AFG
Afghanistan,2018,2,%,South Asia,AFG,AFG
Armenia,2014,-2.291530445,%,Central Asia,ARM,ARM
Armenia,2015,2.813264104,%,Central Asia,ARM,ARM
Armenia,2016,-0.296887562,%,Central Asia,ARM,ARM
Armenia,2017,5.36925366,%,Central Asia,ARM,ARM
Armenia,2018,3.367920106,%,Central Asia,ARM,ARM
Azerbaijan,2014,0.533810509,%,Central Asia,AZE,AZE
Azerbaijan,2015,-1.91533565,%,Central Asia,AZE,AZE
Azerbaijan,2016,-5.862806102,%,Central Asia,AZE,AZE
Azerbaijan,2017,-3.560668339,%,Central Asia,AZE,AZE
Azerbaijan,2018,-0.382697666,%,Central Asia,AZE,AZE
Bangladesh,2014,8.160007172,%,South Asia,BGD,BAN
Bangladesh,2015,9.666904855,%,South Asia,BGD,BAN
Bangladesh,2016,11.09377537,%,South Asia,BGD,BAN
Bangladesh,2017,10.22459784,%,South Asia,BGD,BAN
Bangladesh,2018,12.06056719,%,South Asia,BGD,BAN
Bhutan,2014,3.806263378,%,South Asia,BTN,BHU
Bhutan,2015,6.005474073,%,South Asia,BTN,BHU
Bhutan,2016,7.550896808,%,South Asia,BTN,BHU
Bhutan,2017,4.596216004,%,South Asia,BTN,BHU
Bhutan,2018,2.627272508,%,South Asia,BTN,BHU
Brunei Darussalam,2014,-4.363067421,%,Southeast Asia,BRN,BRU
Brunei Darussalam,2015,-0.033795364,%,Southeast Asia,BRN,BRU
Brunei Darussalam,2016,-2.942531368,%,Southeast Asia,BRN,BRU
Brunei Darussalam,2017,1.514467595,%,Southeast Asia,BRN,BRU
Brunei Darussalam,2018,-0.556098419,%,Southeast Asia,BRN,BRU
Cambodia,2014,10.08821717,%,Southeast Asia,KHM,CAM
Cambodia,2015,11.72752223,%,Southeast Asia,KHM,CAM
Cambodia,2016,10.33547575,%,Southeast Asia,KHM,CAM
Cambodia,2017,9.748433344,%,Southeast Asia,KHM,CAM
Cambodia,2018,10.82229609,%,Southeast Asia,KHM,CAM
Cook Islands,2014,-3.905074294,%,The Pacific,COK,COO
Cook Islands,2015,19.60247364,%,The Pacific,COK,COO
Cook Islands,2016,-13.55462574,%,The Pacific,COK,COO
Cook Islands,2017,11.05242556,%,The Pacific,COK,COO
Cook Islands,2018,10.94990107,%,The Pacific,COK,COO
Federated States of Micronesia,2014,-28.39114097,%,The Pacific,FSM,FSM
Federated States of Micronesia,2015,-6.072480998,%,The Pacific,FSM,FSM
Federated States of Micronesia,2016,,%,The Pacific,FSM,FSM
Federated States of Micronesia,2017,,%,The Pacific,FSM,FSM
Federated States of Micronesia,2018,,%,The Pacific,FSM,FSM
Fiji,2014,1.867239429,%,The Pacific,FJI,FIJ
Fiji,2015,3.343121244,%,The Pacific,FJI,FIJ
Fiji,2016,2.324342724,%,The Pacific,FJI,FIJ
Fiji,2017,1.832950145,%,The Pacific,FJI,FIJ
Fiji,2018,2.268615393,%,The Pacific,FJI,FIJ
Georgia,2014,4.648864483,%,Central Asia,GEO,GEO
Georgia,2015,4.117522074,%,Central Asia,GEO,GEO
Georgia,2016,6.004405733,%,Central Asia,GEO,GEO
Georgia,2017,6.405647801,%,Central Asia,GEO,GEO
Georgia,2018,2.329425013,%,Central Asia,GEO,GEO
"Hong Kong, China",2014,8.082553071,%,East Asia,HKG,HKG
"Hong Kong, China",2015,2.705254656,%,East Asia,HKG,HKG
"Hong Kong, China",2016,3.116934903,%,East Asia,HKG,HKG
"Hong Kong, China",2017,-0.676190988,%,East Asia,HKG,HKG
"Hong Kong, China",2018,0.152489307,%,East Asia,HKG,HKG
India,2014,7.000633488,%,South Asia,IND,IND
India,2015,9.577346165,%,South Asia,IND,IND
India,2016,7.732896751,%,South Asia,IND,IND
India,2017,5.946576976,%,South Asia,IND,IND
India,2018,7.658433617,%,South Asia,IND,IND
Indonesia,2014,4.232211488,%,Southeast Asia,IDN,INO
Indonesia,2015,2.991831063,%,Southeast Asia,IDN,INO
Indonesia,2016,3.824482261,%,Southeast Asia,IDN,INO
Indonesia,2017,4.091152377,%,Southeast Asia,IDN,INO
Indonesia,2018,4.340488993,%,Southeast Asia,IDN,INO
Kazakhstan,2014,1.879439763,%,Central Asia,KAZ,KAZ
Kazakhstan,2015,0.291562097,%,Central Asia,KAZ,KAZ
Kazakhstan,2016,1.968048852,%,Central Asia,KAZ,KAZ
Kazakhstan,2017,6.133132376,%,Central Asia,KAZ,KAZ
Kazakhstan,2018,4.16902735,%,Central Asia,KAZ,KAZ
Kiribati,2014,5.606316417,%,The Pacific,KIR,KIR
Kiribati,2015,13.7254902,%,The Pacific,KIR,KIR
Kiribati,2016,,%,The Pacific,KIR,KIR
Kiribati,2017,,%,The Pacific,KIR,KIR
Kiribati,2018,,%,The Pacific,KIR,KIR
Kyrgyz Republic,2014,5.718153804,%,Central Asia,KGZ,KGZ
Kyrgyz Republic,2015,2.898493189,%,Central Asia,KGZ,KGZ
Kyrgyz Republic,2016,7.066981356,%,Central Asia,KGZ,KGZ
Kyrgyz Republic,2017,8.562431148,%,Central Asia,KGZ,KGZ
Kyrgyz Republic,2018,6.209668735,%,Central Asia,KGZ,KGZ
Lao People's Democratic Republic,2014,7.311781578,%,Southeast Asia,LAO,LAO
Lao People's Democratic Republic,2015,7.009241898,%,Southeast Asia,LAO,LAO
Lao People's Democratic Republic,2016,11.99659455,%,Southeast Asia,LAO,LAO
Lao People's Democratic Republic,2017,11.60950035,%,Southeast Asia,LAO,LAO
Lao People's Democratic Republic,2018,7.87264734,%,Southeast Asia,LAO,LAO
Malaysia,2014,6.024929746,%,Southeast Asia,MYS,MAL
Malaysia,2015,5.344903357,%,Southeast Asia,MYS,MAL
Malaysia,2016,4.199466224,%,Southeast Asia,MYS,MAL
Malaysia,2017,4.893108567,%,Southeast Asia,MYS,MAL
Malaysia,2018,3.396994884,%,Southeast Asia,MYS,MAL
Maldives,2014,16.16151921,%,South Asia,MDV,MLD
Maldives,2015,18.14233694,%,South Asia,MDV,MLD
Maldives,2016,12.28013542,%,South Asia,MDV,MLD
Maldives,2017,10.86706634,%,South Asia,MDV,MLD
Maldives,2018,12.93167967,%,South Asia,MDV,MLD
Marshall Islands,2014,-12.87597568,%,The Pacific,MHL,RMI
Marshall Islands,2015,-4.032254955,%,The Pacific,MHL,RMI
Marshall Islands,2016,16.26556942,%,The Pacific,MHL,RMI
Marshall Islands,2017,13.17776427,%,The Pacific,MHL,RMI
Marshall Islands,2018,,%,The Pacific,MHL,RMI
Mongolia,2014,12.65384094,%,East Asia,MNG,MON
Mongolia,2015,9.942493424,%,East Asia,MNG,MON
Mongolia,2016,-0.443339452,%,East Asia,MNG,MON
Mongolia,2017,0.352169957,%,East Asia,MNG,MON
Mongolia,2018,6.222816284,%,East Asia,MNG,MON
Myanmar,2014,12.14701546,%,Southeast Asia,MMR,MYA
Myanmar,2015,8.3247372,%,Southeast Asia,MMR,MYA
Myanmar,2016,8.925399985,%,Southeast Asia,MMR,MYA
Myanmar,2017,9.420408414,%,Southeast Asia,MMR,MYA
Myanmar,2018,8.664052965,%,Southeast Asia,MMR,MYA
Nauru,2014,-3.595050969,%,The Pacific,NRU,NAU
Nauru,2015,-17.07966745,%,The Pacific,NRU,NAU
Nauru,2016,,%,The Pacific,NRU,NAU
Nauru,2017,,%,The Pacific,NRU,NAU
Nauru,2018,,%,The Pacific,NRU,NAU
Nepal,2014,7.054351988,%,South Asia,NPL,NEP
Nepal,2015,1.44518547,%,South Asia,NPL,NEP
Nepal,2016,-6.363146067,%,South Asia,NPL,NEP
Nepal,2017,12.40800734,%,South Asia,NPL,NEP
Nepal,2018,8.821109988,%,South Asia,NPL,NEP
Pakistan,2014,4.530246243,%,South Asia,PAK,PAK
Pakistan,2015,5.180028864,%,South Asia,PAK,PAK
