projectid_head,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res
26427,26427-013,Secondary Towns Integrated Flood Protection (Phase 2),Bangladesh,Loan,Closed,2117 | 8220,3/16/05,Water,Urban flood protection ,B,C,A
26522,26522-013,Southern Transport Development,Sri Lanka,Loan,Closed,1711,11/25/99,Transportation,,A,A,A
26522,26522-023,Southern Transport Development Project (Supplementary Financing),Sri Lanka,Loan | Technical Assistance,Closed,2413 | 7065,3/6/08,Transportation,Road transport (non-urban),A,C,A
28191,28191-013,Provincial Power Supply,Cambodia,Loan,Closed,1794,12/5/00,Energy,Conventional energy generation ,B,C,A
28212,28212-013,Hebei Zhanghewan Pumped Storage Project,China,Loan,Closed,1922,10/18/02,Energy,Large hydropower generation,A,C,A
28261,28261-023,Third Road Upgrading (Sector) Project (supplementary loan),Fiji,Loan,Closed,2514,3/23/09,Transportation,Road transport (non-urban),B,C,C
28314,28314-013,Sanitation and Drainage Project,Samoa,Loan | Technical Assistance,Closed,2026 | 4229,11/27/03,Water,Urban flood protection ,B,C,A
28314,28314-023,Sanitation and Drainage Project Supplementary Loan,Samoa,Grant | Loan,Closed,0114 | 2440,9/12/08,Water,Urban sewerage,C,C,B
28315,28315-013,Third Provincial Towns Water Supply and Sanitation,Viet Nam,Loan,Closed,1880,12/13/01,Water,Urban flood protection ,B,C,B
29070,29070-013,Chongqing-Guizhou Roads Development: Chongqing Component (Leichong Expressway),China,Loan,Closed,1783,11/21/00,Transportation,Road transport (non-urban),A,A,C
29466,29466-013,Calcutta Environmental Improvement,India,Loan,Closed,1813,12/19/00,Water,Urban flood protection ,B,C,A
29471,29471-013,"Rural Electrification, Distribution and Transmission Project",Nepal,Loan,Closed,1732 | 8199,12/21/99,Energy,,B,C,A
29472,29472-013,Road Network Development,Nepal,Loan,Closed,1876,12/13/01,Transportation,Road transport (non-urban),B,C,C
29568,29568-013,Almaty-Bishkek Regional Road Rehabilitation,Kazakhstan,Loan,Closed,1774,10/31/00,Transportation,Road transport (non-urban),B,C,C
29694,29694-013,Gujarat Power Sector Development Program (Project Loan),India,Loan | Technical Assistance,Closed,1803 | 1804 | 3573 | 3574 | 3575,12/13/00,Energy,Electricity transmission and distribution ,B,C,C
30207,30207-013,Power Sector Development Program (Project Loan),Sri Lanka,Loan,Closed,1929 | 1930,10/31/02,Energy,Electricity transmission and distribution ,B,C,C
30240,30240-013,GMS: Cambodia Road Improvement Project,Cambodia,Loan,Closed,1945 | 8205,4/17/03,Transportation,Road transport (non-urban),B,C,C
30255,30255-013,Rural Access Roads,Lao People's Democratic Republic,Loan,Closed,1795 | 8197,12/7/00,Transportation,Road transport (non-urban),A,A,A
30271,30271-013,Roads for Rural Development,Lao People's Democratic Republic,Loan,Closed,2085 | 8217,6/28/04,Transportation,Road transport (non-urban),B,A,A
30303,30303-013,Karnataka Urban Development and Coastal Environmental Management Project,India,Loan,Closed,1704,10/26/99,Water,,B,C,C
30311,30311-013,Third Road Rehabilitation,Kyrgyz Republic,Loan,Closed,1853,10/31/01,Transportation,Road transport (non-urban),B,C,C
30403,30403-013,Coal Mine Methane Development Project,China,Loan,Closed,2146,12/20/04,Energy,Conventional energy generation,B,A,B
30424,30424-013,Shaanxi Roads Development,China,Loan,Closed,1838,8/30/01,Transportation,Road transport (non-urban),A,C,A
30506,30506-013,Railways Modernization,Uzbekistan,Loan,Closed,1773 | 8196,10/31/00,Transportation,Rail transport (non-urban),B,C,C
