,projectid,projectname,countryname,projectmodality,status,approvalno,approvaldate,sector1,sector1a,safe_env,safe_ind,safe_res,countrycode,region,closingdate_initial,closingdate_final,totalcost_initial,totalcost_final,matchingresult,duration_initial,duration_final,delay,cost_overrun,cost_overrun_mark,delay_mark,closing_year,approval_year,year_for_plr,totalcost_initial_adj1_plr,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,totalcost_initial_adj,totalcost_final_adj,project_size,env_risk,soc_risk,risk_category
0,26427-013,Secondary Towns Integrated Flood Protection (Phase 2),Bangladesh,Loan,Closed,2117 | 8220,2005-03-16,Water,Urban flood protection ,B,C,A,BAN,South Asia,2012-06-30,2012-12-12,128.88,99.97,matched,7.3,7.7,0.5,-28.909999999999997,False,True,2012,2005,2005,452.62,1082.85,2012,333.38,491.52,1082.85,491.52,mega,1,1,Both
1,26522-013,Southern Transport Development,Sri Lanka,Loan,Closed,1711,1999-11-25,Transportation,,A,A,A,SRI,South Asia,2006-12-31,2013-07-05,295.9,906.47,matched,7.1,13.6,6.5,610.57,True,True,2013,1999,1999,1148.89,4738.7,2013,2726.87,3449.38,4738.7,3449.38,mega,1,1,Both
2,26522-023,Southern Transport Development Project (Supplementary Financing),Sri Lanka,Loan | Technical Assistance,Closed,2413 | 7065,2008-03-06,Transportation,Road transport (non-urban),A,C,A,SRI,South Asia,2013-06-30,2013-07-05,295.9,906.46,matched,5.3,5.3,0.0,610.5600000000001,True,False,2013,2008,2008,927.28,1626.32,2013,2726.84,3449.34,1626.32,3449.34,mega,1,1,Both
3,28191-013,Provincial Power Supply,Cambodia,Loan,Closed,1794,2000-12-05,Energy,Conventional energy generation ,B,C,A,CAM,Southeast Asia,2004-12-31,2007-04-05,24.17,24.98,matched,4.1,6.3,2.3,0.8099999999999987,True,True,2007,2000,2000,102.38,241.44,2007,87.61,136.89,241.44,136.89,medium,1,1,Both
4,28212-013,Hebei Zhanghewan Pumped Storage Project,China,Loan,Closed,1922,2002-10-18,Energy,Large hydropower generation,A,C,A,PRC,East Asia,2009-12-31,2013-07-11,774.9,901.9,matched,7.2,10.7,3.5,127.0,True,True,2013,2002,2002,2391.36,4472.54,2013,1543.13,1730.63,4472.54,1730.63,mega,1,1,Both
5,28261-023,Third Road Upgrading (Sector) Project (supplementary loan),Fiji,Loan,Closed,2514,2009-03-23,Transportation,Road transport (non-urban),B,C,C,FIJ,Pacific,2013-12-31,2014-05-19,90.0,168.83,matched,4.8,5.2,0.4,78.83000000000001,True,True,2014,2009,2009,204.78,310.76,2014,341.66,376.59,310.76,376.59,medium,1,0,Environmental Only
6,28315-013,Third Provincial Towns Water Supply and Sanitation,Viet Nam,Loan,Closed,1880,2001-12-13,Water,Urban flood protection ,B,C,B,VIE,Southeast Asia,2008-06-30,2011-07-20,98.0,104.8,matched,6.5,9.6,3.1,6.799999999999997,True,True,2011,2001,2001,517.15,2056.75,2011,310.82,405.45,2056.75,405.45,mega,1,1,Both
7,29070-013,Chongqing-Guizhou Roads Development: Chongqing Component (Leichong Expressway),China,Loan,Closed,1783,2000-11-21,Transportation,Road transport (non-urban),A,A,C,PRC,East Asia,2005-09-30,2008-01-29,345.0,333.2,matched,4.9,7.2,2.3,-11.800000000000011,False,True,2008,2000,2000,1054.91,2029.59,2008,729.38,988.94,2029.59,988.94,mega,1,1,Both
8,29466-013,Calcutta Environmental Improvement,India,Loan,Closed,1813,2000-12-19,Water,Urban flood protection ,B,C,A,IND,South Asia,2010-12-31,2013-11-13,162.6,168.83,matched,10.0,12.9,2.9,6.230000000000018,True,True,2013,2000,2000,767.87,2147.47,2013,590.83,713.02,2147.47,713.02,mega,1,1,Both
9,29472-013,Road Network Development,Nepal,Loan,Closed,1876,2001-12-13,Transportation,Road transport (non-urban),B,C,C,NEP,South Asia,2007-12-31,2010-01-11,69.5,66.411,matched,6.0,8.1,2.0,-3.088999999999998,False,True,2010,2001,2001,400.75,1611.05,2010,242.74,506.03,1611.05,506.03,mega,1,0,Environmental Only
