projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
21182,D,D,D,BAN,South Asia,Bangladesh,B,A,134.4,88.1,1996,2004,4.62,2.95,63.34,,313.7,162,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,satisfactory,PPER,2007,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
22023,D,D,D,INO,Southeast Asia,Indonesia,C,B,218,217.83,1995,2005,3.81,6.36,253,229.97,590,683.44,True,Energy,Oil and gas transmission and distribution,na,na,highly successful,highly relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
23213,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,90,49.83,2003,2009,5.62,0.42,,,128.6,113.1,False,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,highly efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2012,less than successful,less than relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
23233,D,D,D,PHI,Southeast Asia,Philippines,C,B,167,148.58,1996,2007,5.75,4.66,203.4,197.34,652.8,576.88,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
23241,D,D,D,IND,South Asia,India,B,A,113,47.93,1997,2002,6.01,-1.05,,,245,235.58,False,Transportation,Water transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,nr,nr,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
23251,D,D,D,IND,South Asia,India,B,A,245,231.87,1993,2003,6.09,3.12,,,308.8,302.79,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory
25136,D,D,D,SAM,Pacific,Samoa,A,A,6,0.51,2001,2006,2.54,1.9,,,7.5,1.45,False,Energy,Large hydropower generation,na,na,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,satisfactory,less than satisfactory,less than satisfactory,na,na,na,na,na,na,na,na,na,PCR,2008,na,na,na,na,na,na,na,na
25322,D,D,D,NEP,South Asia,Nepal,A,A,12.2,10.77,1996,2006,7.01,3.25,,,16.9,15.6,False,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
26237,D,D,D,INO,Southeast Asia,Indonesia,C,B,275,175.25,1993,2006,7.1,5.97,49,,601.6,420.4,False,Energy,Large hydropower generation,na,na,less than successful,relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
26427,B,D,D,BAN,South Asia,Bangladesh,B,B1,95,86.73701988,2004,2015,5.08,5.08,15,13.88,128.88,99.97,False,Water,Urban flood protection,na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2016,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
26522,A,D,D,SRI,South Asia,Sri Lanka,B,B1,180,185.97,1999,2013,7.1,6.52,127.7,497.81,295.9,906.47,True,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2015,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
27013,D,D,D,PHI,Southeast Asia,Philippines,C,B,37,18.59,1996,2004,5.67,2.47,,,57.4,31.35,False,Water,Urban water supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na
27132,D,D,D,IND,South Asia,India,B,A,105,96.38,1995,2004,6.55,2.44,,,132,123.48,False,Water,"Urban policy, institutional and capacity development",na,na,successful,highly relevant,nr,nr,nr,highly satisfactory,highly satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PPER,2007,successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
27182,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,20.8,4.68,2001,2008,6.65,0.47,,,30,6.92,False,Water,Urban flood protection,Transportation,Road transport (non-urban),unsuccessful,less than relevant,ineffective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,unsuccessful,less than relevant,less than effective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2011,unsuccessful,less than relevant,less than effective,inefficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
