projectid,safe_env,safe_indigenous,safe_resettle,countrycode,regionname,countryshortname,country_classification_23,country_classification_approval,approved_amount_adb,disbursed_amount,approvalyear,closingyear,duration_years,delay,cofin_initial,cofin_final,totalcost_initial,totalcost_final,cost_increase,sector1,sector2,sector3,sector4,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrowerperformance,pcr_ea_performance,pcr_adb_performance,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb_performance,pcr_quality,Source of latest rating,AER reporting year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance,year_for_plr,totalcost_initial_adj1_plr,include,totalcost_initial_adj2_2019,year_for_closing,totalcost_final_adj1_plr,totalcost_final_adj2_2019,adb_funding_ratio,totalcost_initial_adj,totalcost_final_adj,project_size
21182,D,D,D,BAN,South Asia,Bangladesh,B,A,134.4,88.1,1996,2004,4.62,2.95,63.34,,313.7,162.0,False,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,highly satisfactory,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,highly satisfactory,satisfactory,PPER,2007,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,1996,887.71,True,3077.21,2004,552.53,1382.5,0.4284348103283392,3077.21,1382.5,mega
22023,D,D,D,INO,Southeast Asia,Indonesia,C,B,218.0,217.83,1995,2005,3.81,6.36,253.0,229.97,590.0,683.44,True,Energy,Oil and gas transmission and distribution,na,na,highly successful,highly relevant,highly effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1995,2596.94,True,32836.86,2005,3385.79,9163.46,0.3694915254237288,32836.86,9163.46,mega
23213,B,D,D,PAK,Central and West Asia,Pakistan,B,B1,90.0,49.83,2003,2009,5.62,0.42,,,128.6,113.1,False,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,highly efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,less than successful,less than relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,satisfactory,PVR,2012,less than successful,less than relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,2003,539.64,True,1801.24,2009,443.24,896.49,0.6998444790046656,1801.24,896.49,mega
23233,D,D,D,PHI,Southeast Asia,Philippines,C,B,167.0,148.58,1996,2007,5.75,4.66,203.4,197.34,652.8,576.88,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2008,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,1996,1535.42,True,3857.57,2007,1658.3,2283.45,0.2558210784313726,3857.57,2283.45,mega
23241,D,D,D,IND,South Asia,India,B,A,113.0,47.93,1997,2002,6.01,-1.05,,,245.0,235.58,False,Transportation,Water transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,nr,nr,satisfactory,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,PVR,2012,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,1997,1035.3,True,3340.75,2002,1143.41,2987.11,0.46122448979591835,3340.75,2987.11,mega
23251,D,D,D,IND,South Asia,India,B,A,245.0,231.87,1993,2003,6.09,3.12,,,308.8,302.79,False,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,satisfactory,PVR,2008,successful,highly relevant,effective,highly efficient,likely sustainable,less than satisfactory,less than satisfactory,satisfactory,1993,1400.94,True,6210.86,2003,1369.7,3445.04,0.7933937823834196,6210.86,3445.04,mega
25136,D,D,D,SAM,Pacific,Samoa,A,A,6.0,0.51,2001,2006,2.54,1.9,,,7.5,1.45,False,Energy,Large hydropower generation,na,na,unsuccessful,relevant,ineffective,inefficient,unlikely sustainable,satisfactory,less than satisfactory,less than satisfactory,na,na,na,na,na,na,na,na,na,PCR,2008,na,na,na,na,na,na,na,na,2001,17.2,True,27.63,2006,2.5,3.29,0.8,27.63,3.29,small
25322,D,D,D,NEP,South Asia,Nepal,A,A,12.2,10.77,1996,2006,7.01,3.25,,,16.9,15.6,False,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,na,na,na,na,na,na,na,na,na,PCR,2007,na,na,na,na,na,na,na,na,1996,87.91,True,464.33,2006,78.72,248.92,0.7218934911242604,464.33,248.92,small
26237,D,D,D,INO,Southeast Asia,Indonesia,C,B,275.0,175.25,1993,2006,7.1,5.97,49.0,,601.6,420.4,False,Energy,Large hydropower generation,na,na,less than successful,relevant,effective,less than efficient,most likely sustainable,satisfactory,satisfactory,satisfactory,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,PVR,2009,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,1993,2791.34,True,41798.78,2006,1776.05,4213.24,0.45711436170212766,41798.78,4213.24,mega
26427,B,D,D,BAN,South Asia,Bangladesh,B,B1,95.0,86.73701988,2004,2015,5.08,5.08,15.0,13.88,128.88,99.97,False,Water,Urban flood protection,na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,less than satisfactory,PVR,2016,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory,2004,439.57,True,1099.86,2015,287.1,353.03,0.7371198013656114,1099.86,353.03,mega
