id,regionname,countryshortname,project_name,sector1,sector2,public_disclosure_date,approvalyear,effectiveyear,closingyear,boardapprovaldate,loan_effective_date,closingdate,duration_years,cost_wb,cost_non_wb,cost_wb_ratio,cost_non_wb_ratio,totalcost_initial,totalcost_final,cost1_wb_ibrd,cost2_wb_ida,cost3_grant,cost123_total,lendinginstr,envassesmentcategorycode,supplementprojectflg,projectfinancialtype
P000306,Western and Central Africa,Burkina Faso,BF-Ouaga Water Suply (FY01),"Water, Sanitation and Waste Management",Water Supply,1996-03-06,2001,2001,2007,2001-03-20,2001-10-01,2007-12-31,6.8," 135,880,000 "," 70,000,000 ", 0.66 , 0.34 ," 205,880,000 "," 205,880,000 ", -   ," 70,000,000 "," 130,520,000 "," 200,520,000 ",Specific Investment Loan,A,N,Other
P000528,Western and Central Africa,Chad,CHAD PETROLEUM AND POWER ENGINEERING,Energy and Extractives,Oil and Gas,1990-11-20,1990,1991,2001,1990-11-20,1991-03-15,2001-12-31,11.1," 3,200,000 "," 11,000,000 ", 0.23 , 0.77 ," 14,200,000 "," 15,000,000 ", -   ," 11,000,000 "," 3,000,000 "," 14,000,000 ",Specific Investment Loan,C,N,Other
P000734,Eastern and Southern Africa,Ethiopia,ER ROAD REHABILITATION,Transportation,Roads and highways,1992-11-19,1992,1993,2002,1992-11-19,1993-06-04,2002-12-31,10.1," 11,560,000 "," 95,970,000 ", 0.11 , 0.89 ," 107,530,000 "," 107,530,000 ", -   ," 95,970,000 ", -   ," 95,970,000 ",Specific Investment Loan,B,N,IDA
P000926,Western and Central Africa,Ghana,GH-Thermal Power SIL 5 (FY95),Energy and Extractives,Power,1994-10-31,1995,1995,2006,1995-02-16,1995-11-17,2006-12-31,11.9," 135,000,000 "," 175,600,000 ", 0.43 , 0.57 ," 310,600,000 "," 414,300,000 ", -   ," 175,600,000 "," 135,000,000 "," 310,600,000 ",Specific Investment Loan,B,N,Other
P000953,Western and Central Africa,Ghana,NAT'L ELECTRIFICATION,Energy and Extractives,Power,1993-03-04,1993,1994,2000,1993-03-04,1994-04-15,2000-03-31,7.1," 55,400,000 "," 80,000,000 ", 0.41 , 0.59 ," 135,400,000 "," 135,400,000 ", -   ," 80,000,000 "," 55,400,000 "," 135,400,000 ",Sector Investment and Maintenance Loan,B,N,IDA
P001409,Eastern and Southern Africa,Lesotho,Hiland Water 1B Project,"Water, Sanitation and Waste Management",Water Supply,1998-06-04,1998,1999,2006,1998-06-04,1999-06-09,2006-12-31,8.6," 253,000,000 "," 36,000,000 ", 0.88 , 0.12 ," 289,000,000 "," 1,132,199,940 "," 36,000,000 ", -   ," 156,000,000 "," 192,000,000 ",Specific Investment Loan,A,N,Other
P001533,Eastern and Southern Africa,Madagascar,MG-Energy Sec Dev Prj (FY96),Energy and Extractives,Power,1994-10-31,1996,1996,2005,1996-04-16,1996-08-29,2005-12-31,9.7," 59,600,000 "," 46,000,000 ", 0.56 , 0.44 ," 105,600,000 "," 132,500,000 ", -   ," 46,000,000 "," 59,600,000 "," 105,600,000 ",Sector Investment and Maintenance Loan,B,N,Other
P001662,Eastern and Southern Africa,Malawi,MW POWER V,Energy and Extractives,Power,1992-06-17,1992,1993,2000,1992-06-17,1993-12-21,2000-06-30,8.0," 73,300,000 "," 55,000,000 ", 0.57 , 0.43 ," 128,300,000 "," 140,300,000 ", -   ," 55,000,000 "," 73,300,000 "," 128,300,000 ",Specific Investment Loan,A,N,Other
P001667,Eastern and Southern Africa,Malawi,MW-National Water Development (BD FY95),"Water, Sanitation and Waste Management",Water Supply,1994-10-31,1995,1996,2003,1995-06-28,1996-05-01,2003-12-31,8.5," 5,300,000 "," 79,200,000 ", 0.06 , 0.94 ," 84,500,000 "," 84,500,000 ", -   ," 79,200,000 "," 5,300,000 "," 84,500,000 ",Specific Investment Loan,B,N,IDA
P001730,Western and Central Africa,Mali,ML TRANSPORT SECTOR,Transportation,Roads and highways,1994-10-31,1994,1995,2004,1994-05-26,1995-04-13,2004-12-31,10.6," 192,900,000 "," 65,000,000 ", 0.75 , 0.25 ," 257,900,000 "," 305,700,000 ", -   ," 65,000,000 "," 192,900,000 "," 257,900,000 ",Specific Investment Loan,A,N,Other
P002084,Western and Central Africa,Nigeria,WATER REHAB,"Water, Sanitation and Waste Management",Water Supply,1991-05-21,1991,1992,2001,1991-05-21,1992-08-27,2001-06-30,10.1," 4,500,000 "," 256,000,000 ", 0.02 , 0.98 ," 260,500,000 "," 306,700,000 "," 256,000,000 ", -   ," 4,500,000 "," 260,500,000 ",Sector Investment and Maintenance Loan,C,N,IBRD
P002238,Eastern and Southern Africa,Rwanda,RW TRANSPORT SECTOR,Transportation,Roads and highways,1990-05-22,1990,1991,2002,1990-05-22,1991-03-29,2002-04-30,11.9," 50,800,000 "," 40,000,000 ", 0.56 , 0.44 ," 90,800,000 "," 148,900,000 ", -   ," 40,000,000 "," 50,800,000 "," 90,800,000 ",Sector Investment and Maintenance Loan,B,N,Other
P002346,Western and Central Africa,Senegal,SN-Water Sector (BD FY95),"Water, Sanitation and Waste Management",Sanitation,1995-02-23,1995,1996,2004,1995-06-29,1996-07-12,2004-06-30,9.0," 164,900,000 "," 100,000,000 ", 0.62 , 0.38 ," 264,900,000 "," 290,100,000 ", -   ," 100,000,000 "," 164,900,000 "," 264,900,000 ",Specific Investment Loan,B,N,Other
P002411,Western and Central Africa,Sierra Leone,SL POWER REHAB,Energy and Extractives,Power,1992-04-21,1992,1993,2002,1992-04-21,1993-05-24,2002-06-30,10.2," 36,200,000 "," 21,000,000 ", 0.63 , 0.37 ," 57,200,000 "," 69,900,000 ", -   ," 21,000,000 "," 36,200,000 "," 57,200,000 ",Sector Investment and Maintenance Loan,B,N,Other
P002428,Western and Central Africa,Sierra Leone,SL-URBAN WATER SUPPLY,"Water, Sanitation and Waste Management",Sanitation,1994-10-31,1995,1995,2005,1995-04-11,1995-08-14,2005-12-31,10.7, -   ," 36,000,000 ", -   , 1.00 ," 36,000,000 "," 46,500,000 ", -   ," 36,000,000 ", -   ," 36,000,000 ",Specific Investment Loan,B,N,IDA
P002757,Eastern and Southern Africa,Tanzania,TZ RAILWAYS RESTRUCTURI,Transportation,Roads and highways,1991-06-13,1991,1992,2002,1991-06-13,1992-04-30,2002-12-31,11.6," 89,600,000 "," 76,000,000 ", 0.54 , 0.46 ," 165,600,000 "," 213,200,000 ", -   ," 76,000,000 "," 89,600,000 "," 165,600,000 ",Specific Investment Loan,B,N,Other
P002929,Eastern and Southern Africa,Uganda,UG POWER III,Energy and Extractives,Power,1991-06-13,1991,1992,2001,1991-06-13,1992-10-08,2001-12-31,10.6," 155,940,000 "," 158,000,000 ", 0.50 , 0.50 ," 313,940,000 "," 333,609,984 ", -   ," 158,000,000 "," 114,530,000 "," 272,529,984 ",Specific Investment Loan,A,N,Other
P003609,East Asia and Pacific,China,SICHUAN GAS DEV & CONSERVATION,Energy and Extractives,Oil and Gas,1994-10-31,1994,1994,2003,1994-03-17,1994-12-14,2003-06-30,9.3, -   ," 255,000,000 ", -   , 1.00 ," 255,000,000 "," 945,200,000 "," 255,000,000 ", -   , -   ," 255,000,000 ",Specific Investment Loan,A,N,IBRD
