id,regionname,countryshortname,status,last_stage_reached_name,project_name,sector1,sector2,pdo,public_disclosure_date,approvalyear,effectiveyear,closingyear,boardapprovaldate,loan_effective_date,closingdate,cost_wb,cost_non_wb,cost_wb_ratio,cost_non_wb_ratio,totalcost_initial,totalcost_final,cost1_wb_ibrd,cost2_wb_ida,cost3_grant,cost123_total,lendinginstr,envassesmentcategorycode,esrc_ovrl_risk_rate,supplementprojectflg,proj_last_upd_date,projectfinancialtype
P000306,Western and Central Africa,Burkina Faso,Closed,BANK APPROVED,BF-Ouaga Water Suply (FY01),"Water, Sanitation and Waste Management",Water Supply,"The objectives of the Project are to assist the Borrower to increase access to adequate and reliable potable water supply in Ouagadougou and to strengthen the urban water sector management. This will be achieved by:(i) developing new water storage capacity and a main delivery network;(ii) extending the secondary and tertiary water distribution networks;(iii) providing connections and water standpipes to low-income households;(iv) promoting efficiency in urban water supply operations by strengthening ONEA's capacity; and(v) contracting out ONEA's commercial, financial and accounting operations to a Private water operator through a Service Contract.",3/6/96,2001,2001,2007,3/20/01,10/1/01,12/31/07,135880000,70000000,0.66,0.34,205880000,205880000,0,70000000,130520000,200520000,Specific Investment Loan,A,Not Applicable,N,1/15/13,Other
P000528,Western and Central Africa,Chad,Closed,BANK APPROVED,CHAD PETROLEUM AND POWER ENGINEERING,Energy and Extractives,Oil and Gas,ENGINEERING STUDIES AND TA TO SEERAT FOR PREPARATION OF SEDI IPROJECT6/27/97:  CHANGED TTL TO M. LAYEC PER EM DATED 6/27/97 (DKT).,11/20/90,1990,1991,2001,11/20/90,3/15/91,12/31/01,3200000,11000000,0.23,0.77,14200000,15000000,0,11000000,3000000,14000000,Specific Investment Loan,C,Not Applicable,N,1/15/13,Other
P000734,Eastern and Southern Africa,Ethiopia,Closed,BANK APPROVED,ER ROAD REHABILITATION,Transportation,Roads and highways,REHABILITATION OF FAILING SECTIONS OF THE MILLE-ASAB ROADIMPROVEMENT TO LOCAL  TRANSPORT,11/19/92,1992,1993,2002,11/19/92,6/4/93,12/31/02,11560000,95970000,0.11,0.89,107530000,107530000,0,95970000,0,95970000,Specific Investment Loan,B,Not Applicable,N,3/11/21,IDA
P000926,Western and Central Africa,Ghana,Closed,BANK APPROVED,GH-Thermal Power SIL 5 (FY95),Energy and Extractives,Power,PROVISION OF THERMAL GENERATION NEEDED TO COMPLEMENT HYDRO POWER; POSSIBLY SOME ADDITIONAL TRANSMISSION AND DISTRIBUTION BASED ON POWER MASTER PLAN; AND TECHNICAL ASSISTANCE FOR INSTITUTION BUILDING.,10/31/94,1995,1995,2006,2/16/95,11/17/95,12/31/06,135000000,175600000,0.43,0.57,310600000,414300000,0,175600000,135000000,310600000,Specific Investment Loan,B,Not Applicable,N,9/26/18,Other
P000953,Western and Central Africa,Ghana,Closed,BANK APPROVED,NAT'L ELECTRIFICATION,Energy and Extractives,Power,"ASSIST GOVT TO PROVIDE ELECTRICITY FROM THE NATIONAL GRID TO SMALL URBAN CENTERS AND RURAL AREAS IN LINE WITH ITS POLICY OF EXPANDING DEMOCRATIZATION AT THE DISTRICT CAPITAL LEVEL AND PROMOTE DEVELOPMENT OF AREAS OUTSIDE OF LARGE URBAN AREAS. ALSO, ASSIST IN STRENGTHENING AND RATIONALIZE SECTOR INSTITUTIONS.",3/4/93,1993,1994,2000,3/4/93,4/15/94,3/31/00,55400000,80000000,0.41,0.59,135400000,135400000,0,80000000,55400000,135400000,Sector Investment and Maintenance Loan,B,Not Applicable,N,1/15/13,IDA
P001409,Eastern and Southern Africa,Lesotho,Closed,BANK APPROVED,Hiland Water 1B Project,"Water, Sanitation and Waste Management",Water Supply,"The main objectives of the project are: (a)  to put in place the physical and managerial capacity for Lesotho to transform its principal natural resource of abundance - water - into export revenues that can be applied to poverty reduction and economic stability while; (i) protecting the environment and mitigating any adverse social and environmental impacts, and (ii) maximizing the local development spin-offs of the project in Lesotho; and (b) assisting South Africa in developing its lowest cost alternatives for supply of water to the Gauteng Region.",6/4/98,1998,1999,2006,6/4/98,6/9/99,12/31/06,253000000,36000000,0.88,0.12,289000000,1132199940,36000000,0,156000000,192000000,Specific Investment Loan,A,Not Applicable,N,1/15/13,Other
P001533,Eastern and Southern Africa,Madagascar,Closed,BANK APPROVED,MG-Energy Sec Dev Prj (FY96),Energy and Extractives,Power,"The project aims at (a) improving Madagascar's prospects for sustainable growth by ensuring an adequate supply of electricity both for businesses and households, including increased access of the population to the service; (b) creating the institutional foundation in the power subsector to increase economic and management efficiency and attract private investment; and (c) increasing the efficiency of overall energy production and consumption, thereby helping to mitigate the adverse environmental impact of woodfuel use.",10/31/94,1996,1996,2005,4/16/96,8/29/96,12/31/05,59600000,46000000,0.56,0.44,105600000,132500000,0,46000000,59600000,105600000,Sector Investment and Maintenance Loan,B,Not Applicable,N,1/15/13,Other
P001662,Eastern and Southern Africa,Malawi,Closed,BANK APPROVED,MW POWER V,Energy and Extractives,Power,"EXPANSION AND REHABILITATION OF GENERATION, TRANSMISSION ANDDISTRIBUTION.  SUPPORT TO ENERGY PLANNING INITIATIVES AND PETROLEUMSUPPLY.",6/17/92,1992,1993,2000,6/17/92,12/21/93,6/30/00,73300000,55000000,0.57,0.43,128300000,140300000,0,55000000,73300000,128300000,Specific Investment Loan,A,Not Applicable,N,1/15/13,Other
P001667,Eastern and Southern Africa,Malawi,Closed,BANK APPROVED,MW-National Water Development (BD FY95),"Water, Sanitation and Waste Management",Water Supply,"OBJECTIVE: EXPANSION OF SERVICE TO MEET MEDIUM-TERM DEMANDS IN THESECONDARY URBAN AREAS;IMPROVED COVERAGE, THROUGH BETTER OPERATION ANDMAINTENANCE, IN   THE RURAL AREAS;  RESOURCE ANALYSIS AND EVALUATION;MANAGEMENT CAPACITY ENHANCEMENT.",10/31/94,1995,1996,2003,6/28/95,5/1/96,12/31/03,5300000,79200000,0.06,0.94,84500000,84500000,0,79200000,5300000,84500000,Specific Investment Loan,B,Not Applicable,N,1/15/13,IDA
P001730,Western and Central Africa,Mali,Closed,BANK APPROVED,ML TRANSPORT SECTOR,Transportation,Roads and highways,DON'T PUB OLD SIGNED 08-Jul-1994,10/31/94,1994,1995,2004,5/26/94,4/13/95,12/31/04,192900000,65000000,0.75,0.25,257900000,305700000,0,65000000,192900000,257900000,Specific Investment Loan,A,Not Applicable,N,3/11/21,Other
